"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"
"A History of the County of Cambridge and the Isle of Ely: Volume 4, City of Ely; Ely, N. and S. Witchford and Wisbech Hundreds","Atkinson, T D;Hampson, Ethel M;Long, E T;Meekings, C A F;Miller, Edward;Wells, H B;Woodgate, G M G","Pugh, R B","2002","https://www.british-history.ac.uk/vch/cambs/vol4","2004-08-11T00:00:00","Free content","93"
"A History of the County of Cambridge and the Isle of Ely: Volume 5","Bolton, Diane K;Duncombe, G R;Dunning, R W;Kermode, Jennifer I;Rowland, A M;Stephens, W B;Wright, A P M","Elrington, C R","1973","https://www.british-history.ac.uk/vch/cambs/vol5","2008-01-11T00:00:00","Free content","521"
"A History of the County of Cambridge and the Isle of Ely: Volume 6","Rosen, Adrienne B;Keeling, Susan M;Meekings, C A F","Wright, A P M","1978","https://www.british-history.ac.uk/vch/cambs/vol6","2008-01-11T00:00:00","Free content","522"
"A History of the County of Cambridge and the Isle of Ely: Volume 8","Baggs, A P;Keeling, S M;Meekings, C A F","Wright, A P M","1982","https://www.british-history.ac.uk/vch/cambs/vol8","2008-01-11T00:00:00","Free content","523"
"A History of the County of Cambridge and the Isle of Ely: Volume 9, Chesterton, Northstowe, and Papworth Hundreds","","Wright, A P M;Lewis, C P","1989","https://www.british-history.ac.uk/vch/cambs/vol9","2004-10-04T00:00:00","Free content","56"
"A History of the County of Chester: Volume 3","Baggs, A P;Kettle, Ann J;Lander, S J;Thacker, A T;Wardle, David","Elrington, C R;Harris, B E","1980","https://www.british-history.ac.uk/vch/ches/vol3","2005-06-29T23:00:00","Free content","255"
"A History of the County of Chester: Volume 5 Part 1, the City of Chester: General History and Topography","","Lewis, C P;Thacker, A T","2003","https://www.british-history.ac.uk/vch/ches/vol5/pt1","2004-08-04T00:00:00","Free content","94"
"A History of the County of Chester: Volume 5 Part 2, the City of Chester: Culture, Buildings, Institutions","Barrow, J S;Herson, J D;Lawes, A H;Riden, P J;Seaborne, M V J","Thacker, A T;Lewis, C P","2005","https://www.british-history.ac.uk/vch/ches/vol5/pt2","2007-04-26T00:00:00","Free content","524"
"A History of the County of Cumberland: Volume 2","","Wilson, J","1905","https://www.british-history.ac.uk/vch/cumb/vol2","2005-06-29T23:00:00","Free content","256"
"A History of the County of Derby: Volume 2","","Page, William","1907","https://www.british-history.ac.uk/vch/derbs/vol2","2005-06-29T23:00:00","Free content","243"
"A History of the County of Dorset: Volume 2","","Page, William","1908","https://www.british-history.ac.uk/vch/dorset/vol2","2005-07-03T23:00:00","Free content","242"
"A History of the County of Durham: Volume 2","","Page, William","1907","https://www.british-history.ac.uk/vch/durham/vol2","2005-05-30T23:00:00","Free content","241"
"A History of the County of Durham: Volume 3","","Page, William","1928","https://www.british-history.ac.uk/vch/durham/vol3","2006-02-08T00:00:00","Free content","282"
"A History of the County of Essex: Volume 10, Lexden Hundred (Part) Including Dedham, Earls Colne and Wivenhoe","","Cooper, Janet","2001","https://www.british-history.ac.uk/vch/essex/vol10","2004-05-18T23:00:00","Free content","48"
"A History of the County of Essex: Volume 2","","Page, William;Round, J Horace","1907","https://www.british-history.ac.uk/vch/essex/vol2","2005-05-30T23:00:00","Free content","239"
"A History of the County of Essex: Volume 4, Ongar Hundred","","Powell, W R","1956","https://www.british-history.ac.uk/vch/essex/vol4","2004-05-18T23:00:00","Free content","53"
"A History of the County of Essex: Volume 5","","Powell, W R","1966","https://www.british-history.ac.uk/vch/essex/vol5","2006-03-20T00:00:00","Free content","280"
"A History of the County of Essex: Volume 6","","Powell, W R","1973","https://www.british-history.ac.uk/vch/essex/vol6","2006-03-20T00:00:00","Free content","283"
"A History of the County of Essex: Volume 7","","Powell, W R","1978","https://www.british-history.ac.uk/vch/essex/vol7","2006-03-20T00:00:00","Free content","277"
"A History of the County of Essex: Volume 8","","Powell, W R;Board, Beryl A;Briggs, Nancy;Fisher, J L;Harding, Vanessa A;Hasler, Joan;Knight, Norma;Parsons, Margaret","1983","https://www.british-history.ac.uk/vch/essex/vol8","2007-10-18T23:00:00","Free content","534"
"A History of the County of Essex: Volume 9, the Borough of Colchester","Baggs, A P;Board, Beryl;Crummy, Philip;Dove, Claude;Durgan, Shirley;Goose, N R;Pugh, R B;Studd, Pamela;Thornton, C C","Cooper, Janet;Elrington, C R","1994","https://www.british-history.ac.uk/vch/essex/vol9","2004-08-12T23:00:00","Free content","96"
"A History of the County of Gloucester: Volume 10, Westbury and Whitstone Hundreds","Morgan, Kathleen;Smith, Brian S","Elrington, C R;Herbert, N M;Pugh, R B","1972","https://www.british-history.ac.uk/vch/glos/vol10","2004-05-18T23:00:00","Free content","51"
"A History of the County of Gloucester: Volume 11, Bisley and Longtree Hundreds","Baggs, A P;Jurica, A R J;Sheils, W J","Herbert, N M;Pugh, R B","1976","https://www.british-history.ac.uk/vch/glos/vol11","2004-08-04T23:00:00","Free content","50"
"A History of the County of Gloucester: Volume 12","","A.R.J. Jurica","2010","https://www.british-history.ac.uk/vch/glos/vol12","2017-06-06T00:00:00","Free content","1498"
"A History of the County of Gloucester: Volume 2","","Page, William","1907","https://www.british-history.ac.uk/vch/glos/vol2","2005-07-03T00:00:00","Free content","240"
"A History of the County of Gloucester: Volume 4, the City of Gloucester","","Herbert, N M","1988","https://www.british-history.ac.uk/vch/glos/vol4","2006-02-08T00:00:00","Free content","281"
"A History of the County of Gloucester: Volume 5, Bledisloe Hundred, St. Briavels Hundred, the Forest of Dean","Baggs, A P;Jurica, A R J","Currie, C R J;Herbert, N M","1996","https://www.british-history.ac.uk/vch/glos/vol5","2004-09-19T23:00:00","Free content","97"
"A History of the County of Gloucester: Volume 6","","Elrington, C R","1965","https://www.british-history.ac.uk/vch/glos/vol6","2007-11-16T00:00:00","Free content","536"
"A History of the County of Gloucester: Volume 7","","Herbert, N. M.","1981","https://www.british-history.ac.uk/vch/glos/vol7","2015-04-24T00:00:00","Free content","1451"
"A History of the County of Gloucester: Volume 8","","Elrington, C R","1968","https://www.british-history.ac.uk/vch/glos/vol8","2007-11-16T00:00:00","Free content","535"
"A History of the County of Gloucester: Volume 9, Bradley Hundred. The Northleach Area of the Cotswolds","Cragoe, Carol Davidson;Jurica, A R J;Williamson, Elizabeth","Herbert, N M","2001","https://www.british-history.ac.uk/vch/glos/vol9","2007-11-16T00:00:00","Free content","537"
"A History of the County of Hampshire: Volume 2","","Doubleday, H Arthur;Page, William","1903","https://www.british-history.ac.uk/vch/hants/vol2","2005-04-11T23:00:00","Free content","194"
"A History of the County of Hampshire: Volume 3","","Page, William","1908","https://www.british-history.ac.uk/vch/hants/vol3","2006-02-13T00:00:00","Free content","274"
"A History of the County of Hampshire: Volume 4","","Page, William","1911","https://www.british-history.ac.uk/vch/hants/vol4","2007-05-03T23:00:00","Free content","525"
"A History of the County of Hampshire: Volume 5","","Page, William","1912","https://www.british-history.ac.uk/vch/hants/vol5","2006-03-20T00:00:00","Free content","275"
"A History of the County of Hertford: Volume 2","","Page, William","1908","https://www.british-history.ac.uk/vch/herts/vol2","2006-04-06T23:00:00","Free content","305"
"A History of the County of Hertford: Volume 3","","Page, William","1912","https://www.british-history.ac.uk/vch/herts/vol3","2006-04-20T23:00:00","Free content","306"
